Name,Location,LATITUDE,LONGITUDE,Wet _weight_g,Dry_weight_g,PMMA,PP,PVC,PA,PC,N66,PE,PET,ABS,PUR,RUBBER,PS
OyG1,East Bay,29.52534,-94.6135,12,1.4882,0,0,0,0,0,222.4197,0,0,0,0,36.03344,0
OyG2,East Bay,29.53467,-94.706,8,1.9515,0,2361.54,0,0,0,881.6321,31.94403,0,0,0,257.1603,0
OyG3,East Bay,29.46088,-94.694,8,1.3448,0,0,0,0,0,0,0,0,0,0,172.1585,0
OyG4,East Bay,29.52534,-94.6135,2,0.6673,0,2111.283,0,0,0,1797.656,5887.685,0,0,0,257.1216,0
OyG5,Galv Bay,29.50596,-94.9474,10,1.8284,0,0,0,0,0,158.2096,0,0,0,0,126.2608,0
OyG6,Xmas Bay,29.10306,-95.1943,12,2.0501,0,54203.93,0,0,0,10743.98,1158.872,0,0,0,1676.577,0
OyG7,Xmas Bay,29.10306,-95.1943,12,1.9508,0,4318.839,0,0,0,5746.642,1910.418,0,0,0,164.6606,0
OyG8,Galv Bay,29.50265,-94.9252,4,0.3998,0,1205.158,0,0,0,2081.848,751.8179,0,0,0,0,0
OyG9,Xmas Bay,29.10306,-95.1943,14,1.8949,0,2627.279,0,0,0,4738.643,1329.975,0,0,0,8.248516,0
OyG10,Galv Bay,29.55954,-94.9737,24,3.5095,0,3742.69,0,0,0,5715.879,3340.572,0,0,0,118.3629,0
