Location,Oyster_Number,CI
XB-1,1,7.142857
XB-1,2,6.707317
XB-1,3,7.613169
XB-1,4,6.59824
XB-1,5,5.666667
XB-1,6,6.892523
XB-1,7,6.111111
XB-1,8,7.210402
XB-1,9,7.963446
XB-1,10,5.487805
XB-1,11,6.874189
XB-1,12,8.315565
XB-1,13,7.039711
XB-1,14,8.4375
XB-1,15,9.540636
XB-2,1,12.76596
XB-2,2,7.605985
XB-2,3,9.040794
XB-2,4,8.459215
XB-2,5,7.625899
XB-2,6,7.364341
XB-2,7,2.04918
XB-2,8,7.966706
XB-2,9,9.090909
XB-2,10,12.74194
XB-2,11,8.033827
XB-2,12,9.070796
XB-2,13,9.940828
XB-2,14,8.208955
XB-2,15,9.243697
XB-3,1,7.881773
XB-3,2,5.964912
XB-3,3,7.805724
XB-3,4,7.124352
XB-3,5,6.444189
XB-3,6,11.40777
XB-3,7,7.049608
XB-3,8,7.279693
XB-3,9,6.915629
XB-3,10,7.328244
XB-3,11,7.672302
XB-3,12,6.890756
XB-3,13,7.370518
XB-3,14,7.81893
XB-3,15,6.31136
WB-1,1,6.405694
WB-1,2,5.627512
WB-1,3,7.058824
WB-1,4,4.732254
WB-1,5,4.501217
WB-1,6,3.960396
WB-1,7,4.716981
WB-1,8,9.284116
WB-1,9,7.248596
WB-1,10,6.940874
WB-1,11,5.560704
WB-1,12,7.088123
WB-1,13,6.865402
WB-1,14,3.288364
WB-1,15,1.906722
WB-2,1,4.464286
WB-2,2,5.380577
WB-2,3,5.09434
WB-2,4,5.218447
WB-2,5,4.485852
WB-2,6,4.552846
WB-2,7,8.248731
WB-2,8,5.726141
WB-2,9,7.589286
WB-2,10,5.726872
WB-2,11,6.262231
WB-2,12,10.0813
WB-2,13,5.594901
WB-2,14,5.60054
WB-2,15,4.587156
WB-3,1,7.685811
WB-3,2,6.609808
WB-3,3,6.517169
WB-3,4,6.864564
WB-3,5,7.120085
WB-3,6,4.824121
WB-3,7,6.418554
WB-3,8,6.040268
WB-3,9,4.513274
WB-3,10,6.912442
WB-3,11,7.253464
WB-3,12,7.861369
WB-3,13,5.41958
WB-3,14,5.59816
WB-3,15,6.56045
EB-1,1,10.10486
EB-1,2,11.84283
EB-1,3,11.33283
EB-1,4,14.81113
EB-1,5,11.21899
EB-2,1,10.74589
EB-2,2,12.88114
EB-2,3,10.94191
EB-2,4,10.51852
EB-2,5,10.98538
EB-2,6,12.25782
EB-2,7,11.16832
EB-2,8,9.152752
EB-2,9,11.34372
EB-2,10,9.504792
EB-2,11,8.862876
EB-2,12,11.12381
EB-2,13,11.58564
EB-2,14,7.061791
